date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-05 04:06:47","undefined","32cv1","N",200,29.65810225007748,0.5

time_ms,weight
0.056062,23.442225904420727,
0.067828,23.79118313549514,
0.079594,24.36796829513425,
0.09136,24.890966919371103,
0.103125,25.164710211548552,
0.114891,25.697766119448726,
0.126658,26.41492070417466,
0.138423,26.59158660062946,
0.15019,26.674671711315927,
0.161957,27.145632689649577,
0.173723,27.888588070661623,
0.18549,28.50735359254062,
0.197256,28.928461867801094,
0.209023,29.12874011058063,
0.22079,29.271735208003594,
0.244331,30.141941004772026,
0.256166,30.72965906186776,
0.267868,31.6064255323452,
0.279636,32.53085391784687,
0.291404,33.036799700424204,
0.303173,33.3498976825054,
0.314939,33.614896527187604,
0.326707,33.73777471919636,
0.338475,33.858904021706074,
0.350244,34.16762978003965,
0.362016,34.48597676870556,
0.373789,34.68538056673557,
0.385559,34.864232575064186,
0.397328,35.14322253573878,
0.409097,35.372801691890096,
0.432639,35.07675538242463,
0.44441,34.86204646319037,
0.456182,34.65345865720278,
0.467953,35.01772100948144,
0.479724,35.29233874640842,
0.491495,35.26216572637468,
0.503265,35.32207454406739,
0.515036,35.562584259587766,
0.526804,35.678029671225566,
0.538572,35.64873109594136,
0.550338,35.69901868330173,
0.562108,35.38329502888439,
0.57388,34.53189213231831,
0.585652,33.6455067695961,
0.597423,32.90036527671024,
0.620965,32.590325513164814,
0.632736,32.671225681021255,
0.644507,32.344569129147295,
0.656277,32.218630380515194,
0.668048,32.4350881892485,
0.679817,33.43036062798708,
0.691587,35.154155433195406,
0.703359,37.5002158773684,
0.715128,41.075932686378536,
0.726898,47.63965058539063,
0.738668,60.03288012607316,
0.75044,78.89843172282949,
0.76221,102.23745561114954,
0.773981,127.37286958550145,
0.785751,151.54974247676995,
0.809294,194.9511756343136,
0.821065,213.01649338087645,
0.832837,228.8319536342394,
0.844607,243.74003016045376,
0.856378,257.28814402562637,
0.868148,268.8741348057689,
0.879915,277.2827768124991,
0.891682,282.8350427068188,
0.903451,287.25429007156174,
0.91522,291.8510824536841,
0.926989,296.8956466616648,
0.938758,301.75045168282344,
0.950526,305.665944053038,
0.962293,309.32080512614283,
0.97406,312.6428908722146,
0.997596,317.8540765524683,
1.009363,319.4077637968433,
1.021167,320.5385938764587,
1.0329,321.82334493669106,
1.044668,322.9152505345148,
1.056434,323.300941459332,
1.068203,323.30008104310787,
1.079971,323.3893024646102,
1.09174,324.28877410343694,
1.10351,326.5806236493145,
1.115282,330.9220220504741,
1.127053,335.18953688456145,
1.138825,337.4485783857189,
1.150597,337.13680843737495,
1.162367,333.0310892628253,
1.185911,327.59251053829405,
1.197683,331.0046968267928,
1.209455,335.9613676470084,
1.221228,339.9402689520013,
1.232999,342.04320102258043,
1.244771,340.8126561844684,
1.256543,338.1744704036774,
1.268314,338.5199462223667,
1.280088,342.93833317088547,
1.291861,348.3935216694826,
1.303633,352.37852070684653,
1.315406,354.115888110373,
1.327176,353.10138256332,
1.338944,350.1085556605827,
1.350715,346.97536868510883,
1.374258,344.6743538359742,
1.386029,346.2936571697894,
1.397802,350.1715156825485,
1.409576,354.7552147743037,
1.421349,358.2692668618593,
1.433121,360.22308505985643,
1.444892,360.5488461241928,
1.456663,360.12294009324773,
1.468437,360.089683135715,
1.480208,360.27336329486656,
1.49198,360.0380955716682,
1.503753,359.421962736388,
1.515527,359.11584160760253,
1.527301,359.65416288870034,
1.539073,361.24151859401957,
1.562621,364.23520591298103,
1.574394,362.89796946307666,
1.586168,359.5221077029967,
1.597943,356.7741627395274,
1.609717,359.002154437814,
1.621489,364.931806369918,
1.633261,370.5194989670313,
1.645032,373.84115450499104,
1.656802,373.47338268327644,
1.668571,370.1653067578976,
1.68034,365.2903754789745,
1.692113,362.09905429427016,
1.703885,364.1936440684154,
1.715658,369.05544464757025,
1.727429,374.1573013532577,
1.750974,378.7256625905827,
1.762746,375.8286411639324,
1.774518,369.9531954539487,
1.786291,366.29002949381095,
1.798063,368.10434803529563,
1.809835,372.1007195305785,
1.821608,375.64189343389484,
1.83338,376.86851028489673,
1.84515,374.8971844872086,
1.856919,370.0642639656637,
1.868689,366.05169419972657,
1.880457,365.14563850631515,
1.892227,366.5869479099384,
1.903995,368.89189074618315,
1.915766,370.4175957585733,
1.93931,364.4197464883567,
1.951085,357.06015761054846,
1.962859,351.18647014241407,
1.974633,349.6870265295604,
1.986408,354.85098284098956,
1.998181,365.16838342215306,
2.009955,374.25176009090694,
2.02173,378.1926160350328,
2.033504,374.9409160770351,
2.045278,367.1186851364516,
2.05705,361.1623603013995,
2.068823,362.91850722425266,
2.080597,370.19370049329393,
2.09237,375.55270942179357,
2.104142,376.9096232166498,
2.127689,373.1817015832959,
2.139462,373.29452833686025,
2.151235,375.03099791476154,
2.163007,374.98595699589833,
2.174783,372.5209767419651,
2.186556,369.46825738814806,
2.198329,368.5866674430228,
2.210102,369.80628873602853,
2.221875,370.80197735435377,
2.233649,370.77182537710814,
2.24542,370.7818510965893,
2.257192,371.35122218055795,
2.268964,373.7593775542975,
2.280737,379.2709794296768,
2.292509,384.0002759103154,
2.316054,382.81391157484245,
2.327829,375.86447937013753,
2.339607,368.36976773573963,
2.351381,362.60673727590876,
2.363158,359.58244906688907,
2.374931,360.35076334563735,
2.386704,365.0052784335786,
2.398476,373.5442360888636,
2.410246,383.13353749740673,
2.422016,388.85418310584885,
2.433784,389.4029790192405,
2.445554,385.5578911418005,
2.457324,380.2513676029729,
2.469092,378.01159194335577,
2.480862,379.95358877062137,
2.504402,384.9198738069066,
2.516173,386.15917244486417,
2.527943,385.9645687406063,
2.539713,386.58025266307385,
2.563255,392.6389296193965,
2.575025,395.417475472924,
2.586796,396.7844149872614,
2.598568,395.0072813904197,
2.61034,388.2765071348473,
2.622111,378.3846010812173,
2.633881,369.27933991284965,
2.645653,364.3974504853314,
2.657424,364.29816593494684,
2.669194,366.8082245171443,
2.680967,371.6219166065499,
2.704517,376.11067063844223,
2.716292,372.5564034447587,
2.728068,372.48861761005753,
2.739843,377.9910167727787,
2.751618,382.12034127939046,
2.763389,379.0029036617583,
2.77516,368.49441586003553,
2.786931,356.1444877010674,
2.798706,346.29320825697687,
2.810479,338.5509960252375,
2.82225,333.31925387910724,
2.834021,329.5931278970037,
2.845791,324.84853097133595,
2.857561,319.2525334871897,
2.869332,312.5121450155477,
2.892873,290.8426933437027,
2.904643,274.8348178360432,
2.916413,256.90726020884404,
2.928184,236.88726384805994,
2.939959,215.1544032414366,
2.95173,192.1577782485695,
2.963499,168.41513497997948,
2.975268,147.29534899010054,
2.987037,131.79867294777824,
2.998806,121.5591026254976,
3.010573,112.20504088310206,
3.022341,101.52904313583129,
3.034108,89.59016012324145,
3.045876,76.51957258628661,
3.057644,63.51064509461112,
3.081186,45.262982236896704,
3.092953,40.87259388697566,
3.104722,37.46479385074995,
3.116495,33.539245365915875,
3.128269,29.089822643051644,
3.140039,24.681067446259227,
3.151806,20.50451357082292,
3.163573,16.626191532203993,
3.17534,13.12524997841133,
3.187123,10.372074128535939,
3.198878,8.217985140413415,
3.210646,6.469263691407552,
3.222413,4.942685257181166,
3.23418,3.709528482997414,
3.245947,2.591815659146733,
3.269483,1.1312684710339893,
3.281251,0.6310089174161286,
3.293018,0.26849603915840853,
3.304785,0.006996727039981344,
3.316558,0.24050971552037456,
3.328334,0.15786182720866845,
3.34011,0.03804419182324359,
3.351886,0.03979366584418462,
3.363658,0.11719371661495902,
3.375431,0.07827508004219061,
3.387205,0.11282090834544353,
3.398977,0.1648585542486498,
3.410751,0.10757365532640321,
3.422524,0.10801087770116563,
3.434297,0.16442133187388738,
3.457841,0.09314297887167812,
3.469614,0.12943769667398067,
3.481385,0.1639835249772336,
3.493157,0.2566892814741493,
3.50493,0.2514414439332176,
3.516704,0.22651626144041187,
3.528475,0.14824118139822126,
3.540248,0.4062421299966578,
3.552019,0.5295581289020733,
3.563792,0.4832049583926698,
3.575564,0.49982233124309833,
3.587331,0.6699281385107885,
3.599101,0.938860815522068,
3.610872,1.0149497836904466,
3.622646,1.036813825038024,
3.64619,0.8072370069742753,
3.657964,0.7971791387890657,
3.669736,0.6931044315045445,
3.681507,0.6056465125485605,
3.693278,0.7014128256688131,
3.70505,0.8667080177703339,
3.71682,0.7372703210963533,
3.728591,0.6213888561275729,
3.740361,0.4071165747461826,
3.752133,0.3808797251290897,
3.763905,0.3384621405144392,
3.775678,0.32665538283018,
3.787449,0.45303252288082374,
3.799221,0.31091303925116764,
3.810992,0.18978373674145552,
3.834536,0.2663093427627051,
3.846308,0.08133622118741887,
3.858079,0.2527536955793962,
3.869851,0.4547814123798734,
3.881622,0.4298556453651763,
3.893394,0.4495341593608331,
3.905165,0.45084582648512034,
3.916936,0.3979337358323892,
3.928707,0.2514414439332176,
3.940478,0.23088906970992737,
3.952251,0.21164836261092437,
3.964024,0.31309973564687105,
3.975796,0.36032676638390804,
3.987569,0.36076398875867044,
3.99934,0.35639118048915497,
4.022888,0.5142530076978234,
4.03466,0.34852000869964883,
4.046431,0.33059096872493304,
4.058204,0.45084582648512034,
4.069976,0.4189239169523333,
4.081748,0.552297199521067,
4.09352,0.5181885935925765,
4.105291,0.524747513735904,
4.117064,0.7197790880182913,
4.128835,0.9353630365239687,
4.140607,0.840471168153241,
4.15238,0.6913549574836035,
4.164153,0.6979144621488225,
4.175924,0.7394570174920567,
4.187696,0.7097212198330817,
4.21124,0.8190437646585346,
4.223012,0.6791109774245818,
4.234784,0.5243102913611416,
4.246557,0.6423784527256254,
4.258329,0.676487058654116,
4.270104,0.6708025832603133,
4.281878,0.641941230350863,
4.293649,0.5676023207253169,
4.305418,0.27286884742792406,
4.317187,0.19721768615619928,
4.328959,0.29167233215216465,
4.340731,0.3918114535419327,
4.3525,0.29210955452692705,
4.36427,0.3533300393439267,
4.37604,0.4582797758998641,
