date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-03 08:00:32","undefined","Cv2","N",200,null,0.5

time_ms,weight
0.056074,2.39547300226195,
0.067841,2.5279718400811593,
0.079608,2.637731607281374,
0.091375,2.631609324990918,
0.103142,2.761484828561552,
0.11491,3.0623399996275102,
0.126678,2.9831904748357947,
0.138447,2.9018548381702676,
0.150216,2.8143969192142833,
0.161984,2.8725562628860546,
0.173753,2.9079765359388325,
0.185524,2.8821763241746106,
0.197297,2.9390240007220947,
0.209068,2.949519091282067,
0.22084,2.8231425357533144,
0.244383,2.7885967074500613,
0.256167,2.7667320815805927,
0.267929,2.59618905193814,
0.279701,2.6521622837360996,
0.291473,2.447073425790394,
0.303245,2.3429981339839814,
0.315016,2.3110762244511944,
0.326793,2.3049539421607377,
0.338563,2.2983950220174103,
0.350335,2.382791799828166,
0.362107,2.3521815574196663,
0.373881,2.3412492444849318,
0.385653,2.4851176176136374,
0.397425,2.7138199909278615,
0.409197,2.7203794955930802,
0.432742,2.963949767736792,
0.444514,3.45021586727469,
0.456284,3.7751220683448747,
0.468052,4.0882215117308,
0.47982,4.084723148210809,
0.49159,3.9500379062568425,
0.503361,3.988082098080086,
0.51513,4.2058524507205215,
0.5269,4.473473752868459,
0.53867,4.771268075050135,
0.55044,4.8906481957998515,
0.562209,4.998221558865309,
0.57398,5.00346881188435,
0.585749,5.015713084204317,
0.597519,5.071248801366568,
0.621057,4.895895741079838,
0.632827,4.913824488793607,
0.644596,5.170513478006812,
0.656365,5.296015588786039,
0.668134,5.233920659219514,
0.679907,5.057255639547551,
0.691679,4.662820267235152,
0.703452,4.3352901473945025,
0.715223,4.131076026459267,
0.726994,3.899312511999815,
0.738767,3.8017967248586215,
0.750537,3.9150548555788274,
0.762305,4.0904079158655575,
0.774073,4.01082116869908,
0.785843,3.9124312290693073,
0.809379,3.816664623688109,
0.821148,3.625131705186658,
0.832917,3.1703502928067846,
0.844686,3.0343536759894763,
0.856455,2.939899029993511,
0.868223,2.750552515626818,
0.879993,2.786410011054358,
0.891766,3.0033056266843228,
0.903537,3.626881179207599,
0.915305,4.68031179257416,
0.927077,5.98693332389488,
0.938848,7.607091740171997,
0.95062,9.880998144484236,
0.962391,12.962141482705514,
0.974163,17.320607630832825,
0.997711,26.51331152058727,
1.009485,31.073805093254112,
1.021262,37.14601022423116,
1.033037,46.517128315417565,
1.044812,56.35746083352613,
1.056586,65.4911297658155,
1.06836,76.21784530855871,
1.080131,88.63031263373078,
1.091902,101.3532592829106,
1.103671,113.9270827071581,
1.115441,125.98709736034523,
1.127211,135.41419160593904,
1.13898,142.58005590041404,
1.150751,150.3327614691477,
1.162521,159.36498078196678,
1.186061,175.00508446791167,
1.197832,180.13056521036174,
1.209604,186.82765230028932,
1.221375,197.05192217754086,
1.233145,208.1958086560841,
1.244917,217.17991947915394,
1.256688,225.0760713962107,
1.268458,232.53447720689036,
1.280229,239.08813665319536,
1.292,243.89088649279407,
1.30377,247.28820254437574,
1.315541,251.63092897927254,
1.327313,257.09879926482535,
1.339085,262.770008349781,
1.350857,268.06076382606636,
1.374398,275.3626299980557,
1.386169,278.448587604705,
1.397939,282.8284802795441,
1.409712,287.7388008518598,
