date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-03 04:29:33","undefined","9ch1","N",200,9.711757613149267,0.5

time_ms,weight
0.056011,8.542453972978365,
0.067763,8.656586548448095,
0.079515,8.670579856397586,
0.091271,8.692444336136582,
0.103027,8.810075275126303,
0.114781,8.950008062360256,
0.126534,8.897095971707525,
0.138288,9.04489978460051,
0.150041,9.125361122646986,
0.161794,9.111805183202732,
0.173547,9.089940703463736,
0.1853,8.984116522158274,
0.197053,8.95306905737501,
0.208808,9.04227615809099,
0.220561,8.99898442098776,
0.24407,8.830627941610539,
0.255824,8.73223770971982,
0.267581,8.707749457340832,
0.279335,8.60804748526059,
0.291089,8.378470374935896,
0.302843,8.226293534577684,
0.314596,8.231103711352436,
0.326352,8.142333906076454,
0.338106,8.087235411288965,
0.349861,7.954299351094994,
0.361615,7.8873940255580095,
0.373368,7.890892352545382,
0.385123,7.913631423164376,
0.396882,7.8672786910463905,
0.408641,7.889143207318005,
0.432157,7.713790019167111,
0.443917,7.72384768642292,
0.455676,7.8043089879367775,
0.467432,7.905760214842251,
0.47919,7.838417593865268,
0.490945,7.912756832284378,
0.5027,7.991468988570858,
0.514456,7.942055224905499,
0.526212,8.07936423949946,
0.537969,8.202679873078694,
0.549728,8.268710680800917,
0.561485,8.241161360341936,
0.57324,8.264775021840926,
0.584997,8.323809175588405,
0.596751,8.341737996367412,
0.620259,8.46898936197187,
0.632016,8.371036425521151,
0.643773,8.30806668587892,
0.655527,8.41082979910439,
0.667279,8.199618878063937,
0.67903,7.956923087202369,
0.690782,7.8856448803306325,
0.702538,7.726034127090296,
0.714292,7.663938996594371,
0.726047,7.676183104517557,
0.737801,7.684928903719679,
0.749556,7.685803476333367,
0.761311,7.6613152604869965,
0.773066,7.744400316374538,
0.78482,7.98053674870136,
0.808328,8.874794123463293,
0.820083,9.615125585704876,
0.831838,10.832540016309615,
0.843593,12.608811151100642,
0.855345,15.015653104150196,
0.867095,18.147085344906106,
0.878845,22.012288958716482,
0.890596,26.662427146735016,
0.902349,32.16047162136531,
0.914102,38.13515979615739,
0.925858,44.55719660295838,
0.937611,51.53590400207184,
0.949366,58.99650293888801,
0.96112,67.15457677739067,
0.972874,76.05648511783004,
0.996385,94.32601143237015,
1.008139,104.39417187904341,
1.019895,114.91885795142046,
1.031653,125.3976333363599,
1.043408,135.75833529923784,
