date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-07 04:14:03","undefined","20shc1","N",200,301.4798784272904,0.5

time_ms,weight
0.056018,95.15555145663244,
0.067777,98.70065334705895,
0.079539,102.76482938174348,
0.091302,106.57580923777684,
0.103063,109.99803995045728,
0.114822,112.89813830034392,
0.126583,115.03823661086545,
0.138341,116.11309287416105,
0.150099,115.84853358994117,
0.161857,114.96083656009468,
0.173617,114.03640349841788,
0.185375,113.84312782789723,
0.197135,115.05266728732018,
0.208894,116.3072570179566,
0.220653,116.25303209113581,
0.24417,116.21235871984507,
0.25593,116.7305443908282,
0.26769,117.0900019731596,
0.279448,116.99642235643505,
0.291208,116.97367744059714,
0.302967,118.36033170928748,
0.314726,120.70682703774766,
0.326487,122.61165762507085,
0.338246,123.1442739725087,
0.350007,122.82855733235405,
0.361767,123.33100299784573,
0.373528,124.62887540549607,
0.385287,125.59091426757757,
0.397046,126.61854116204856,
0.408807,128.0143700863462,
0.432326,128.00956297831138,
0.444087,126.07324302765504,
0.455848,123.27065228160312,
0.467608,121.39643193668843,
0.479367,121.76900151408758,
0.491127,123.82163664495611,
0.502886,125.69279877133503,
0.514647,126.57699802218343,
0.526406,126.99024097087332,
0.538171,127.57796136605661,
0.549931,128.23039067270474,
0.56169,128.76826304099,
0.57345,128.88938532923703,
0.58521,128.88020132127946,
0.596971,129.02275919632766,
0.620486,129.27595537497882,
0.632243,129.54270310916007,
0.644002,129.979551389912,
0.65576,131.28005180798604,
0.667522,133.01914939631106,
0.679284,134.17184527083975,
0.691045,135.21478196269013,
0.702807,136.53495972571605,
0.714568,138.13281812037985,
0.72633,140.17365058521736,
0.738093,142.04656160109533,
0.749856,143.57970173194403,
0.761621,145.18455568460402,
0.773386,146.04295180107874,
0.785148,146.38971824410422,
0.808672,147.91980015641712,
0.820434,149.3278713072081,
0.832197,151.09365115083148,
0.84396,153.23855656938784,
0.855723,155.35678908499614,
0.867485,157.08670266536356,
0.879246,158.89533497788875,
0.891009,161.16355113465352,
0.902773,163.6998337069865,
0.914536,166.70838191051476,
0.926299,169.878735125931,
0.938063,173.0875639103263,
0.949825,176.73849699632098,
0.961587,181.7078683081928,
0.973348,188.4080229690064,
0.996876,204.58728964757276,
1.008639,212.86913248944666,
1.020401,220.4062476799338,
1.032164,228.33780759508363,
1.043927,236.80417230763268,
1.055689,245.0825173705085,
1.067451,254.61411477793322,
1.079214,266.13450817333603,
1.090978,279.96379109679435,
1.102741,295.1517460569582,
1.114504,310.32918897542726,
1.126267,324.40116538819217,
1.138028,336.19967897569524,
1.14979,346.2906030429069,
1.16155,355.0809892826435,
1.185074,368.26047090987737,
1.196836,374.2228934773005,
1.208597,381.016178842026,
1.220361,388.9556134360967,
1.232124,398.29262584396406,
1.243886,408.2943284896735,
1.255646,419.69884626532644,
1.267406,432.92946654379455,
1.279168,446.0411623363273,
1.290929,457.61622957136353,
1.302692,466.4525545555885,
1.314454,471.87362568042874,
1.326215,474.7356693170981,
1.337977,474.89967213129773,
1.34974,473.50647121742384,
1.373268,475.74100956089404,
1.385032,480.71081108087793,
1.396795,487.8141455614992,
1.408561,494.75085856984737,
1.420324,500.4671272783668,
1.43209,505.6122666610682,
1.443853,510.249723062131,
1.455617,515.4893211824816,
1.467381,522.5179116798066,
1.479144,529.4795393492536,
1.490906,534.0395956995457,
1.502669,536.1744379892198,
1.514432,536.9432011807806,
1.526196,537.6398016377176,
1.537958,537.1216066143843,
1.561482,536.2951581264056,
1.573245,537.2545596257131,
1.585008,539.207479998085,
1.596771,542.8422522228263,
1.608533,549.25074448836,
1.620296,559.5523957116818,
1.632059,571.6508952861983,
1.643821,584.9081884676145,
1.655605,596.7027740680073,
1.667346,603.2490077482041,
