date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-08 05:40:02,""undefined"",""37scv1"",""N"",200,0.37183756033863596,0.5"

time_ms,weight
0.056084,76.05823225376342,
0.067855,76.06260915368617,
0.079624,76.73734381570989,
0.091394,78.11262095030614,
0.103164,79.77607205353456,
0.114934,81.2300585679383,
0.126705,82.0324855442683,
0.138477,82.08627091062677,
0.150248,82.24850613062685,
0.16202,82.75751246982752,
0.173792,84.07419245385535,
0.185562,85.70440998042669,
0.197335,86.41456666906886,
0.209106,86.03499685749838,
0.220878,84.56832855613897,
0.244423,85.53386519721856,
0.256196,88.26867010856934,
0.267967,90.41051730858993,
0.279738,91.59645143595084,
0.291509,91.02447104625898,
0.30328,88.97314524442717,
0.315052,87.03464151998458,
0.326825,85.64187549039784,
0.338594,84.87705431447253,
0.350364,85.39130732217036,
0.362133,86.39926154786461,
0.373904,86.4228762322769,
0.385674,85.42891312257505,
0.397444,84.86000030376924,
0.409214,85.69260263822054,
0.432755,89.13057335639242,
0.44453,90.83556292331083,
0.456306,92.52874982419823,
0.468082,93.49209801531644,
0.479857,92.69492238365874,
0.491631,91.53523095113384,
0.503404,90.89678340812783,
0.515179,91.21731650866757,
0.526953,92.52306359523875,
0.538727,94.67671346129036,
0.550501,96.50590223969209,
0.562276,98.37706436607101,
0.574051,101.5666553659768,
0.585827,106.5180888700455,
0.597604,111.96453292114737,
0.621153,118.89775750284771,
0.632927,121.10300428529642,
0.644702,122.67899688504696,
0.656476,124.00136309803426,
0.66825,125.04998601884411,
0.680023,126.896224131774,
0.691797,132.4406153471729,
0.703573,141.80430065798834,
0.715346,152.45536503945982,
0.727121,162.55413572854158,
0.738895,172.8077065191649,
0.75067,184.00232014553086,
0.762445,196.69289831045288,
0.774219,210.8471005867239,
0.785994,225.86624562465332,
0.809543,256.91905995226557,
0.821316,269.25063880001903,
0.833089,275.5506625072105,
0.84486,275.83534804919486,
0.856629,271.4209077924868,
0.868399,265.4645829574347,
0.880168,264.9481461759506,
0.891949,269.8400987323511,
0.903711,277.5053598261323,
0.915481,286.4746004122851,
0.927254,293.8897235459508,
0.939027,298.75981030743804,
0.950798,302.95779976967555,
0.962568,307.4710756639556,
0.974337,313.90096610688937,
0.997877,333.34023763048634,
1.009648,341.90848684679287,
1.02142,347.9667148903029,
1.03319,352.6479028811923,
1.044959,353.56753818718454,
1.05673,350.46495210176886,
1.0685,345.7124992018808,
1.080272,341.90063087257255,
1.092045,340.06401632806256,
1.103819,340.96966051806237,
1.115592,341.89101665650287,
1.127365,342.2216035335746,
1.139138,342.5587370558299,
1.150911,342.8871541876407,
1.162685,346.498283670919,
1.186233,364.045425098849,
1.198009,370.51119115738896,
1.209783,373.7427648576222,
1.221558,374.5902374289906,
1.233331,374.31868258677446,
1.245104,373.7987293215918,
1.256878,372.4400572848862,
1.268653,370.2177518155591,
1.280431,369.432827762745,
1.292208,371.4303775505686,
1.303982,377.10639374355907,
1.315756,384.7515285795758,
1.327529,393.35868357297346,
1.339306,402.40139622278684,
1.35108,409.8620278928289,
1.374628,411.1362669113664,
1.386403,406.68421150190335,
1.398176,400.174751262938,
1.409951,389.2201937631047,
1.421725,379.7935484303235,
1.4335,372.9993652399727,
1.445274,369.72757643361155,
1.457048,370.7949788737481,
1.468823,373.9084885042701,
1.480597,379.88101160997644,
1.492372,387.50295261734266,
1.504146,393.8362145773664,
1.51592,398.91053796388167,
1.527693,403.4128716083548,
1.53947,405.47513965999354,
1.563021,404.5253149673546,
1.574795,402.0821818036341,
1.58657,403.18242969789185,
1.598347,407.6607090974904,
1.610121,413.0953224255104,
1.621896,416.3505014578057,
1.63367,417.06023261451094,
1.645443,415.9329003138936,
1.657207,409.26598390591215,
1.668991,399.11299764235986,
1.680761,391.95676626865503,
1.692532,386.6909067487679,
1.704304,383.6862958847001,
1.716075,385.42407479163813,
1.727846,389.3019707137982,
1.751387,404.4085602266801,
1.763157,411.82063449416034,
1.774927,416.3006721356082,
1.786703,418.62835988769086,
1.798478,420.1247733390596,
1.810253,419.1762953848584,
1.822027,418.04196752624483,
1.833798,418.4088415223342,
1.845568,418.0506839166893,
1.857339,418.8657973561501,
1.869109,420.9691783395419,
1.880879,424.22480628464973,
1.892649,426.1283088382357,
1.904421,427.05755836029755,
1.916191,425.7255592265401,
1.939733,419.9363047765737,
1.951504,413.21207716618494,
