date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-15 02:44:22","undefined","P1cv2","N",200,2067.505329551553,0.5

time_ms,weight
0.055994,42.30121975007751,
0.067743,42.152977984157395,
0.079492,41.847750004821926,
0.091242,41.72618347993745,
0.102991,41.94526462291933,
0.114742,42.202828349143005,
0.126491,42.384740914094955,
0.138242,42.195832791146806,
0.149991,42.11362095616608,
0.16174,42.22513136643102,
0.17349,42.664605319519076,
0.18524,43.62183239739063,
0.19699,44.913588367969425,
0.208741,46.383317225952176,
0.220491,47.86091842476822,
0.243993,51.948704467689936,
0.255744,54.965566910601346,
0.267497,58.767797642964325,
0.27925,63.22640437378614,
0.291002,68.36280866134257,
0.302755,74.82201404617349,
0.314507,82.51262936151574,
0.32626,90.52596622735909,
0.338013,98.9883936004477,
0.349765,107.58944150912409,
0.36152,116.79002183136505,
0.373277,127.0755121934336,
0.385034,138.12057238675516,
0.396792,150.41059874229322,
0.40855,163.25510724018238,
0.432057,188.04288500293444,
0.443811,199.05645583292284,
0.455564,208.7852756026789,
0.467318,217.4847195884649,
0.479059,225.15564820650502,
0.490825,231.53746756909058,
0.502579,236.53830018724474,
0.514333,240.65670114875007,
0.526087,245.13410142742399,
0.53784,250.2394746168101,
0.549593,255.83502318814377,
0.561344,261.6133727977043,
0.573098,268.06907572736196,
0.58485,275.6875376604306,
0.596604,284.7394343182016,
0.620111,303.9281376735711,
0.631865,312.8116920266207,
0.643618,319.9823634291305,
0.655373,325.16294821932604,
0.667128,329.27431621343413,
0.678882,333.4320718648432,
0.690637,337.16040500160864,
0.702391,341.2302859699532,
0.714144,346.4676769356419,
0.725899,352.6807050806935,
0.737653,358.8736069679806,
0.749406,364.085634359758,
0.76116,368.10302993843055,
0.772914,370.86406819226704,
0.78467,372.68362404989864,
0.808176,374.4949124298983,
0.819928,374.89021757078507,
0.831681,375.8819782020002,
0.843435,378.03518850758945,
0.855187,381.6970451386905,
0.86694,385.91996796672726,
0.878693,389.9526639904289,
0.890445,393.4684743198339,
0.902201,395.9242892705101,
0.913953,397.6695126482569,
0.925706,398.53052742280505,
0.937459,398.2812685836143,
0.949214,396.5312193931321,
0.960968,393.8195989580816,
0.972721,391.7153575584657,
0.996229,392.36998466742546,
1.007982,393.2445790545545,
1.019736,393.7072211173298,
1.031491,393.50169386796557,
1.043244,391.483606318966,
1.055,388.6276604146677,
1.066754,385.00863754776793,
1.078508,381.14738880907476,
1.090264,377.662179369728,
1.102018,373.5695908949466,
1.113774,370.99747011640846,
1.125529,369.51590819725635,
1.137283,368.87441178806483,
1.149038,369.1861817364088,
1.16079,369.98689255646565,
1.184298,373.8476923823463,
1.196053,377.2257612970881,
1.207808,380.2242744287849,
1.219562,383.9687684268036,
1.231317,387.81344480083203,
1.243072,390.7834893783304,
1.254826,393.1724163199306,
1.266582,395.11617138904546,
1.278342,396.4853180580448,
1.290099,396.7000106106661,
1.301854,395.4992436557892,
1.313608,392.5873332875213,
1.325365,388.56600972173857,
