date,tag,comment,unit,rfdTime,rfdValue,rfdThreshold
"2022-03-15 08:37:04","undefined","68ch2","N",200,700.1246382941206,0.5

time_ms,weight
0.056049,4.0379327553266435,
0.067812,3.92336295748215,
0.079573,3.767687826669185,
0.091335,3.7978608467029225,
0.103097,3.8971255233431656,
0.114861,4.012570058198129,
0.126623,4.175241916051076,
0.138386,4.2618250979965895,
0.150147,4.283252501491296,
0.161906,4.225092865558579,
0.173666,4.1761163608006004,
0.18543,4.1546892495668395,
0.197192,4.036183573566648,
0.208952,4.050614250021373,
0.220713,4.21940809790383,
0.244233,4.294184522165084,
0.255991,4.305554057474581,
0.26775,4.174367179040606,
0.279511,4.0095089170529015,
0.291269,3.9522240181306545,
0.30303,3.9832717751748627,
0.31479,4.056299017676121,
0.326553,4.16737074426157,
0.338316,4.216346956758602,
0.350079,4.259638693861832,
0.361843,4.223343683798583,
0.373606,4.343161026923062,
0.385371,4.476097087117034,
0.397135,4.381205218746306,
0.4089,4.416188561685267,
0.432428,4.552185470763521,
0.444191,4.369398461062047,
0.455954,4.3339778957483235,
0.467717,4.267509865651338,
0.479481,4.19142148200485,
0.491245,4.23471321910808,
0.503009,4.2373368456176,
0.514772,4.043617522981392,
0.526535,3.9509120587454216,
0.5383,3.9841462199243876,
0.550064,3.93604445217688,
0.561828,3.7641894631491946,
0.573593,3.7668133819196603,
0.585356,3.6666739682689466,
0.597119,3.5481682922687545,
0.620646,3.7322672613554615,
0.632409,3.713901291266929,
0.644174,3.8875051697936645,
0.655938,3.933420533406414,
0.667703,3.920301816336922,
0.679468,4.1039635630488664,
0.691232,4.532070318914993,
0.702997,5.136841802192137,
0.714761,6.105438561503654,
0.726525,7.143564272861674,
0.73829,8.48473177861612,
0.750054,10.466965996906668,
0.761818,13.089829705358554,
0.773582,16.065148716143895,
0.785345,19.339574300757093,
0.808872,30.216717721294227,
0.820636,39.33376986525505,
0.8324,51.350055266703244,
0.844168,65.52173708561453,
0.855933,81.18239256126083,
0.867699,98.40636352587711,
0.879465,117.11448701066819,
0.89123,135.54144143717355,
0.902999,150.833459998706,
0.914766,164.04791941592086,
0.926534,177.08221515768284,
0.938301,190.7077290736262,
0.950069,204.79193836053423,
0.961837,218.8341930041656,
0.973603,233.04611798625555,
0.997132,264.324567116296,
1.008896,282.492648487541,
1.020709,301.5956469051068,
1.032427,319.7077451076816,
1.044192,335.59577959908,
1.055957,350.2087146557168,
1.067722,363.97369081877156,
1.091253,381.4408135378573,
1.103022,383.79255553481465,
1.11479,385.04580787936357,
1.126562,387.0656536702125,
1.13833,389.8227639369388,
1.150098,392.7036245023359,
1.161866,396.0174240660753,
1.173633,401.2185279127463,
1.19717,417.2329687702899,
1.208939,424.4185291144173,
1.220706,430.1675684582558,
1.232474,434.57544336507976,
1.244242,436.48769971851124,
1.256016,434.60956073883665,
1.26779,429.6043325160592,
1.279565,424.10189594393694,
1.291336,421.2739696810245,
1.303101,422.0671986208715,
1.314867,425.83357711850397,
1.326632,431.12349088326573,
1.338397,436.95954449394463,
1.35016,442.90273862922845,
1.361923,448.78779855528177,
1.385452,457.5103989603173,
1.397215,456.09138555971936,
1.408978,448.8888039381146,
1.420741,438.74629230685605,
1.432506,431.22973358224544,
1.444274,428.6960696679859,
1.456041,431.26646961407573,
1.467808,437.29798734523666,
1.479574,444.1236692512709,
1.491337,449.47040789622633,
1.503101,453.40426828235604,
1.514864,456.8885798960776,
1.526628,460.3370533035941,
1.538392,462.759199793326,
1.550158,461.71233511436543,
1.573691,449.4839500994062,
1.58546,446.6393766530268,
1.597228,449.32567092356703,
1.608995,455.6773008995059,
1.620766,463.2494125846746,
1.632534,469.8459244998814,
1.644302,474.9158335770729,
1.656071,476.3431518647037,
1.667839,473.85411736589583,
1.679666,468.6564925935224,
1.691377,463.7938315981434,
1.703149,459.5779043281028,
1.71492,456.34023289549856,
1.726691,454.4607471773862,
1.73846,454.3654280235129,
1.761996,464.036094879338,
1.773762,470.20011670901516,
1.785526,474.8354033648171,
1.79729,475.62077633044385,
1.809054,472.95285007581873,
1.820818,468.8558847011146,
1.832582,464.40910401719947,
1.844347,461.0909275535373,
1.85611,458.66309483484594,
1.867874,456.9965808369066,
1.879639,455.9742193156333,
1.891403,457.1177124775039,
1.903169,461.7263262303578,
1.914936,467.35247569174976,
1.926704,472.43903195240813,
1.950238,470.7817206671269,
1.962006,465.96320276498597,
1.973776,462.36696222332523,
1.985546,459.68504485270773,
1.997313,457.2340557147669,
2.00908,455.25442503004587,
2.020848,454.7375393357492,
2.032615,456.14648960746484,
2.044384,458.91673057395946,
2.056152,463.0141448614762,
2.067922,467.0297821982994,
2.079693,470.0396303785141,
2.091461,471.53428558803347,
2.10323,470.51671247009443,
2.114998,466.4398733531547,
2.138535,456.26021418665437,
2.150303,456.6261903571186,
2.162073,461.7228097466592,
2.173844,467.79371957712493,
2.185615,473.0665372456072,
2.197382,477.06732305021393,
2.209149,479.35303745431946,
2.220917,479.560322945533,
2.232684,477.31920054747815,
2.244453,472.5982089538724,
2.256221,466.6886832795329,
2.26799,460.3571795613585,
2.279757,456.21427544216596,
2.291522,456.51381251636684,
2.303288,460.22991277898916,
2.326815,470.29326611762764,
2.338584,474.910596260926,
2.350353,477.90952089603434,
2.36212,477.6869723691927,
2.373889,472.60827208275464,
2.385658,463.7177408764094,
2.39743,454.6199241788505,
2.409202,448.99856312079294,
2.420971,449.182654783356,
2.432738,455.7713107243425,
2.444505,462.66298281382745,
2.456272,466.7249703985506,
2.468044,468.18202916001553,
2.479815,470.20494252175047,
2.491583,474.52011693277456,
2.515113,482.73548326898407,
2.526879,482.1324437240711,
2.538644,474.80742113283236,
2.550411,463.70722883471456,
2.562177,455.4254234022417,
2.573942,452.7491922605837,
2.58571,454.47911519330137,
2.597476,457.6123021687753,
2.609244,460.96324926775645,
2.62101,464.39859197550464,
2.632777,467.94021479163354,
2.644544,469.73526749157793,
2.656309,469.7409537205374,
2.668077,469.0325693022699,
2.679845,467.54707939600763,
2.703389,463.29838149064796,
2.715159,463.36396017068716,
2.72693,466.87977050009215,
2.738699,471.5010660399018,
2.750466,475.8682769277853,
2.762232,478.0831379263036,
2.773998,476.5622587266488,
2.785764,471.8211408752787,
2.797529,466.89290119986043,
2.809294,462.9804764005319,
2.82106,460.8027629372554,
2.832826,458.3102119547489,
2.844593,453.85639830343655,
2.856358,449.4957714701377,
2.868126,448.1458532332777,
2.891658,454.70125221673146,
2.903424,457.231848560105,
2.91519,457.8877849981015,
2.926957,457.59086658197407,
2.938725,456.8592883350561,
2.950493,457.214378369815,
2.962258,458.55071699409416,
2.974025,459.65137639176345,
2.985792,459.85207782839234,
3.009329,461.6056435025732,
3.021099,462.5816547759465,
3.032869,462.97479017157247,
3.04464,462.86634031793085,
3.056408,463.9503899415343,
3.068175,464.89972831195956,
3.091709,461.17184408800676,
3.103476,458.50436674619425,
3.115244,458.3666253315311,
3.127016,459.07108176268844,
3.138786,458.10161713449867,
3.150557,454.170824319255,
